'a7d550a3,AngelaGuan2004,2024-08-29 22:01:58 +0800,fix：photocontroller'
'7a34322a,AngelaGuan2004,2024-08-29 21:57:28 +0800,feat: 新增weather控制器'
'8981aa82,whispercat777,2024-08-29 17:12:21 +0800,注册登录通 志愿详情改好'
'e163b6b8,AngelaGuan2004,2024-08-29 17:08:06 +0800,fix：表的映射'
'96216382,AngelaGuan2004,2024-08-29 17:00:25 +0800,fix:微调photo表、volunteer表对应的后端映射'
'c90c08cd,AngelaGuan2004,2024-08-29 16:33:54 +0800,feat：后端配置成连接远端数据库，新增部分photo controller，微调库表'
'304d700f,AngelaGuan2004,2024-08-29 02:56:02 +0800,fix：调试participate表和相应接口'
'1f148350,AngelaGuan2004,2024-08-29 01:24:12 +0800,fix：通过触发器解决选手和志愿者身份的重复问题'
'89de4c21,AngelaGuan2004,2024-08-29 00:13:25 +0800,fix：噫！ctl你的controller都不跑来测一下的吗！'
'b3379a83,AngelaGuan2004,2024-08-29 00:07:18 +0800,fix：赛事抽签状态查询controller'
'c7b4ef70,AngelaGuan2004,2024-08-28 23:55:22 +0800,Merge branch 'main' of https://github.com/AngelaGuan2004/db_marathon'
'14375100,AngelaGuan2004,2024-08-28 23:54:35 +0800,fix：选手注册不需要前端输入id和年龄'
'903dd889,syf-TuT,2024-08-28 22:33:23 +0800,添加查询志愿者报名的赛事函数'
'0d5e361f,WZK040104,2024-08-28 22:18:42 +0800,前端整合——完成了赛事-志愿详情页面，优化了登录和注册页面，注册部分可以打通到后端'
'f962bbe4,whispercat777,2024-08-28 17:49:45 +0800,新 改了发送到后端的固定Id值'
'63f0572a,whispercat777,2024-08-28 17:34:44 +0800,同步了新的页面 修改了注册登录 添加了api'
'6904b5b2,yujie gao,2024-08-28 03:33:05 +0800,eventmanagement 8.28 debug'
'f6d34707,WZK040104,2024-08-28 00:10:45 +0800,前端整合——完成了赛事-赛事管理部分的整合，优化了文件目录逻辑'
'3cb13aeb,ctltcl,2024-08-27 23:53:40 +0800,8.27'
'8dab5e4e,whispercat777,2024-08-27 17:24:41 +0800,api修改'
'75c81b63,AngelaGuan2004,2024-08-27 17:08:20 +0800,fix: 登录controller从body获取，微调映射字段'
'fc072d3e,whispercat777,2024-08-27 15:50:21 +0800,Add files via upload'
'bd1d50f3,WZK040104,2024-08-27 00:15:48 +0800,前端整合——优化了“我的”部分样式展示与逻辑，添加了志愿者报名和赛事志愿详情的页面'
'e0ac9c9d,AngelaGuan2004,2024-08-26 18:35:05 +0800,Update PhotoController.cs'
'3d5f2650,AngelaGuan2004,2024-08-26 18:08:24 +0800,fix：event表新增是否抽签字段，志愿者controller兼容'
'3c498070,syf-TuT,2024-08-26 17:06:07 +0800,添加志愿者详情后端函数'
'9d3b402a,AngelaGuan2004,2024-08-26 16:51:25 +0800,fix：增加志愿者controller部分函数'
'063c90f3,AngelaGuan2004,2024-08-26 16:34:15 +0800,fix：ctl的赛事和志愿者controller微调'
'cdfb87c4,AngelaGuan2004,2024-08-26 16:26:22 +0800,不要models文件夹，直接去root里面找models'
'f7ecc3bb,ctltcl,2024-08-26 15:46:39 +0800,8.26'
'98b5fe83,syf-TuT,2024-08-26 15:23:57 +0800,修改上传照片函数'
'8a6a5c42,gracegaogreen,2024-08-26 01:46:05 +0800,volunteermanagement'
'9697d11d,gracegaogreen,2024-08-26 01:45:32 +0800,eventmanagement'
'dca83cce,eightMealsADay,2024-08-26 01:35:14 +0800,Add files via upload'
'30e74020,eightMealsADay,2024-08-26 01:31:38 +0800,Update PhotographerCenter.vue'
'02d5a83b,eightMealsADay,2024-08-26 01:22:59 +0800,Update PhotoWall.vue'
'7ec9c11e,whispercat777,2024-08-25 21:40:21 +0800,Add files via upload'
'042eb8ad,AngelaGuan2004,2024-08-25 17:14:20 +0800,fix：后端生成id，命名空间统一'
'7a93c482,bbbuild00,2024-08-25 10:41:13 +0800,8.25初版'
'c67344a5,bbbuild00,2024-08-25 08:40:45 +0800,8.25初版'
'd55a20bd,whispercat777,2024-08-24 13:48:43 +0800,Add files via upload'
'4afb8f81,WZK040104,2024-08-23 20:36:53 +0800,前端整合——登录注册页面修改了样式'
'8a8a4995,eightMealsADay,2024-08-23 20:06:21 +0800,Update InjuryEntry.vue'
'6df1e05a,eightMealsADay,2024-08-23 20:05:46 +0800,Update MyPhotographyWorks.vue'
'664dc266,eightMealsADay,2024-08-23 20:04:08 +0800,Update PhotographerCenter.vue'
'bdc12f9b,eightMealsADay,2024-08-23 20:02:56 +0800,Update PhotoWall.vue'
'4e0a0531,ctltcl,2024-08-23 19:52:13 +0800,8.23'
